Eng,Beng
software,সফটওয়্যার
disappear,অদৃশ্য
corporate,কর্পোরেট
strange,অদ্ভুত
lip,ঠোঁট
reading,পড়া
urban,শহুরে
mental,মানসিক
increasingly,ক্রমবর্ধমানভাবে
lunch,মধ্যাহ্নভোজ
educational,শিক্ষাগত
somewhere,কোথাও
farmer,কৃষক
sugar,চিনি
planet,গ্রহ
favorite,প্রিয়
explore,অন্বেষণ
obtain,প্রাপ্ত
enemy,শত্রু
greatest,সর্বশ্রেষ্ঠ
complex,জটিল
surround,ঘিরে
athlete,ক্রীড়াবিদ
invite,আমন্ত্রণ
repeat,পুনরাবৃত্তি
carefully,সাবধানে
soul,আত্মা
scientific,বৈজ্ঞানিক
impossible,অসম্ভব
panel,প্যানেল
meaning,অর্থ
mom,মা
married,বিবাহিত
instrument,যন্ত্র
predict,ভবিষ্যদ্বাণী
weather,আবহাওয়া
presidential,রাষ্ট্রপতির
emotional,আবেগপূর্ণ
commitment,অঙ্গীকার
Supreme,সর্বোচ্চ
bear,ভালুক
pocket,পকেট
thin,পাতলা
temperature,তাপমাত্রা
surprise,আশ্চর্য
poll,পোল
proposal,প্রস্তাব
consequence,পরিণতি
breath,শ্বাস
sight,দৃষ্টিশক্তি
balance,ভারসাম্য
adopt,গ্রহণ
minority,নাবালকত্ব
straight,সোজা
connect,সংযোগ
works,কাজ করে
teaching,শিক্ষাদান
belong,অন্তর্গত
aid,সাহায্য
advice,পরামর্শ
okay,ঠিক আছে
photograph,আলোকচিত্র
empty,খালি
regional,আঞ্চলিক
trail,পথ
novel,উপন্যাস
code,কোড
somehow,কোনোভাবে
organize,সংগঠিত করা
jury,জুরি
breast,স্তন
Iraqi,ইরাকি
acknowledge,স্বীকার
theme,থিম
storm,ঝড়
union,মিলন
desk,ডেস্ক
thanks,ধন্যবাদ
fruit,ফল
expensive,ব্যয়বহুল
yellow,হলুদ
conclusion,উপসংহার
prime,প্রধান
shadow,ছায়া
struggle,সংগ্রাম
conclude,উপসংহার
analyst,বিশ্লেষক
dance,নাচ
regulation,প্রবিধান
being,হচ্ছে
ring,রিং
largely,ব্যাপকভাবে
shift,স্থানান্তর
revenue,রাজস্ব
mark,চিহ্ন
locate,সনাক্ত করা
county,কাউন্টি
appearance,চেহারা
package,প্যাকেজ
difficulty,অসুবিধা
bridge,সেতু
recommend,সুপারিশ
obvious,স্পষ্ট
basically,মূলত
e-mail,ই-মেইল
generate,উৎপন্ন
anymore,আর
propose,প্রস্তাব
thinking,চিন্তা
possibly,সম্ভবত
trend,প্রবণতা
visitor,দর্শনার্থী
loan,ঋণ
currently,বর্তমানে
comfortable,আরামপ্রদ
investor,বিনিয়োগকারী
profit,লাভ
angry,রাগান্বিত
crew,নাবিকদল
accident,দুর্ঘটনা
meal,খাবার
hearing,শুনানি
traffic,ট্রাফিক
muscle,পেশী
notion,ধারণা
capture,ক্যাপচার
prefer,পছন্দ
truly,সত্যিই
earth,পৃথিবী
Japanese,জাপানিজ
chest,বুক
thick,পুরু
cash,নগদ
museum,যাদুঘর
beauty,সৌন্দর্য
emergency,জরুরী
unique,অনন্য
internal,অভ্যন্তরীণ
ethnic,জাতিগত
link,লিঙ্ক
stress,চাপ
content,বিষয়বস্তু
select,নির্বাচন করুন
root,মূল
nose,নাক
declare,ঘোষণা
appreciate,প্রশংসা
actual,আসল
bottle,বোতল
hardly,খুব কমই
setting,বিন্যাস
launch,শুরু করা
file,ফাইল
sick,অসুস্থ
outcome,ফলাফল
ad,বিজ্ঞাপন
defend,রক্ষা করা
duty,কর্তব্য
sheet,শীট
ought,উচিত
ensure,নিশ্চিত করা
Catholic,ক্যাথলিক
extremely,অত্যন্ত
extent,পরিমাণ
component,উপাদান
mix,মিশ্রণ
long-term,দীর্ঘ মেয়াদী
slow,ধীর
contrast,বিপরীত
zone,মণ্ডল
wake,জেগে ওঠা
airport,বিমানবন্দর
brown,বাদামী
shirt,শার্ট
pilot,বিমান - চালক
warn,সতর্ক করা
ultimately,শেষ পর্যন্ত
cat,বিড়াল
contribution,অবদান
capacity,ক্ষমতা
ourselves,নিজেদেরকে
estate,এস্টেট
guide,গাইড
circumstance,পরিস্থিতি
snow,তুষার
English,ইংরেজি
politician,রাজনীতিবিদ
steal,চুরি
pursue,অন্বেষণ করা
slip,স্লিপ
percentage,শতাংশ
meat,মাংস
funny,হাস্যকর
neither,না
soil,মাটি
surgery,অস্ত্রোপচার
correct,সঠিক
Jewish,ইহুদি
blame,দোষ
estimate,অনুমান
due,বাকি
basketball,বাস্কেটবল
golf,গলফ
investigate,তদন্ত
crazy,পাগল
significantly,উল্লেখযোগ্যভাবে
chain,চেইন
branch,শাখা
combination,সংমিশ্রণ
frequently,ঘন ঘন
governor,গভর্নর
relief,ত্রাণ
user,ব্যবহারকারী
dad,বাবা
kick,লাথি
manner,পদ্ধতি
ancient,প্রাচীন
silence,নীরবতা
rating,রেটিং
golden,সোনালী
motion,গতি
German,জার্মান
gender,লিঙ্গ
solve,সমাধান
fee,ফি
landscape,ল্যান্ডস্কেপ
used,ব্যবহৃত
bowl,বাটি
equal,সমান
forth,সামনে
frame,ফ্রেম
typical,সাধারণ
except,ছাড়া
conservative,রক্ষণশীল
eliminate,নিষ্কাশন করা
host,হোস্ট
hall,হল
trust,বিশ্বাস
ocean,মহাসাগর
row,সারি
producer,প্রযোজক
afford,সামর্থ্য
meanwhile,এদিকে
regime,শাসন
division,বিভাগ
confirm,নিশ্চিত করুন
fix,ঠিক করা
appeal,আপিল
mirror,আয়না
tooth,দাঁত
smart,স্মার্ট
length,দৈর্ঘ্য
entirely,সম্পূর্ণরূপে
rely,নির্ভর করা
topic,বিষয়
complain,অভিযোগ
variable,পরিবর্তনশীল
telephone,টেলিফোন
perception,উপলব্ধি
attract,আকর্ষণ
confidence,আত্মবিশ্বাস
bedroom,শয়নকক্ষ
secret,গোপন
debt,ঋণ
rare,বিরল
tank,ট্যাঙ্ক
nurse,নার্স
coverage,কভারেজ
opposition,বিরোধী দল
aside,একপাশে
anywhere,যে কোন জায়গায়
bond,বন্ধন
pleasure,আনন্দ
master,মাস্টার
era,যুগ
requirement,প্রয়োজন
fun,মজা
expectation,প্রত্যাশা
wing,উইং
separate,পৃথক
somewhat,কিছুটা
pour,ঢালা
stir,আলোড়ন
judgment,রায়
beer,বিয়ার
reference,রেফারেন্স
tear,টিয়ার
doubt,সন্দেহ
grant,প্রদান
seriously,গুরুত্ব সহকারে
minister,মন্ত্রী
totally,সম্পূর্ণরূপে
hero,নায়ক
industrial,শিল্প
cloud,মেঘ
